match_id,player_id,team,role,champion,win,kills,deaths,assists,cs,vision_score,wards_placed,damage_to_champions,gold_earned,objective_participation,first_blood,lane_advantage
M00001,P019,A,Jungle,Lee Sin,0,5,4,1,234,46,3,24824,16169,2.0,0,-1.11
M00001,P078,A,Support,Leona,0,1,5,4,33,54,4,26156,13052,3.0,0,0.28
M00001,P002,A,Support,Alistar,0,8,4,6,53,46,3,27038,12658,0.0,0,0.42
M00001,P029,A,Bottom,Caitlyn,0,4,4,10,320,32,1,26850,14892,2.0,0,0.91
M00001,P037,A,Jungle,Sejuani,0,14,4,6,240,40,0,31393,16087,0.0,0,-1.35
M00001,P069,B,Bottom,Ashe,1,7,4,7,320,46,1,35377,15615,3.0,0,0.71
M00001,P073,B,Mid,Viktor,1,7,3,11,320,38,2,26556,16948,1.0,1,-0.78
M00001,P076,B,Mid,Orianna,1,4,4,11,320,57,1,25256,15245,2.0,0,-0.29
M00001,P021,B,Top,Aatrox,1,6,6,9,288,41,3,27388,14916,3.0,0,1.2
M00001,P009,B,Support,Lulu,1,17,6,15,50,57,5,34667,14911,3.0,0,-0.34
M00002,P001,A,Support,Lulu,0,10,1,7,42,39,7,27841,10975,3.0,0,-0.7
M00002,P012,A,Jungle,Elise,0,11,9,3,199,33,5,26030,15611,3.0,0,0.09
M00002,P010,A,Bottom,Ashe,0,8,3,5,241,48,2,29922,16072,0.0,0,-0.99
M00002,P040,A,Support,Thresh,0,3,4,9,43,37,2,23678,12598,2.0,0,0.27
M00002,P011,A,Mid,Syndra,0,7,10,9,233,38,3,29726,13810,2.0,1,-0.41
M00002,P015,B,Bottom,Lucian,1,4,4,4,301,34,2,25549,15096,1.0,1,-0.31
M00002,P007,B,Top,Malphite,1,13,3,8,217,22,2,27298,15908,5.0,0,0.28
M00002,P058,B,Support,Alistar,1,11,7,10,35,35,8,30048,13451,1.0,0,1.45
M00002,P008,B,Jungle,Lee Sin,1,10,3,12,186,32,0,26409,14840,5.0,1,-0.66
M00002,P051,B,Support,Leona,1,12,3,6,55,26,1,29670,12848,2.0,0,-0.3
M00003,P028,A,Top,Gnar,1,8,9,6,257,31,2,30119,15222,0.0,0,1.42
M00003,P045,A,Jungle,Lee Sin,1,6,9,9,160,45,1,25724,12148,3.0,0,-0.12
M00003,P043,A,Mid,Akali,1,11,4,4,249,36,4,23502,16185,2.0,1,-1.05
M00003,P041,A,Jungle,Lee Sin,1,10,11,9,158,47,6,33111,14296,4.0,0,0.09
M00003,P046,A,Mid,Ahri,1,11,5,10,267,39,5,28141,16605,1.0,1,0.39
M00003,P007,B,Top,Fiora,0,16,1,3,260,29,2,33343,17380,3.0,0,1.74
M00003,P052,B,Support,Nautilus,0,3,2,8,19,48,5,19417,9605,0.0,0,-0.03
M00003,P076,B,Mid,Vex,0,3,6,6,215,27,1,25511,12783,1.0,0,-0.11
M00003,P022,B,Support,Nautilus,0,5,7,5,49,31,5,21867,10939,2.0,0,-0.71
M00003,P005,B,Top,Darius,0,8,5,5,254,26,4,24796,17016,6.0,0,-0.6
M00004,P029,A,Bottom,Xayah,0,8,3,2,286,34,4,30854,14855,1.0,0,-2.3
M00004,P018,A,Top,Renekton,0,4,5,8,250,37,3,23455,15461,2.0,0,-2.43
M00004,P028,A,Top,Renekton,0,7,8,8,218,33,3,21697,15664,1.0,0,-1.64
M00004,P001,A,Support,Thresh,0,12,4,8,60,38,6,32209,13214,2.0,0,0.1
M00004,P076,A,Mid,Vex,0,5,5,1,262,44,3,24631,15304,3.0,1,-0.77
M00004,P061,B,Mid,Syndra,1,10,6,4,228,35,0,25691,14124,3.0,0,1.0
M00004,P004,B,Bottom,Jinx,1,8,6,4,252,37,2,25735,14567,2.0,0,0.45
M00004,P032,B,Support,Leona,1,7,5,8,57,45,6,28528,10828,2.0,0,-1.21
M00004,P006,B,Jungle,Elise,1,8,9,5,169,28,2,23993,14026,3.0,0,-2.21
M00004,P052,B,Support,Braum,1,12,3,7,59,39,2,32457,12712,0.0,0,0.97
M00005,P051,A,Support,Alistar,0,10,1,4,49,47,5,24744,15186,5.0,0,-1.06
M00005,P018,A,Top,Camille,0,10,11,2,233,34,0,24096,15584,3.0,0,-0.14
M00005,P076,A,Mid,Viktor,0,6,4,4,277,38,2,24636,14855,3.0,0,-2.52
M00005,P049,A,Mid,Syndra,0,13,5,2,251,39,1,28996,16019,1.0,0,-1.36
M00005,P064,A,Jungle,Jarvan IV,0,6,7,6,192,59,1,24233,12981,1.0,0,-0.74
M00005,P050,B,Support,Morgana,1,12,9,12,60,43,2,33362,13060,2.0,1,-1.44
M00005,P042,B,Mid,Orianna,1,11,7,9,267,46,4,29629,16885,2.0,0,-1.34
M00005,P023,B,Top,Gnar,1,11,6,7,256,37,1,31244,15736,3.0,0,-0.34
M00005,P055,B,Bottom,Xayah,1,5,4,4,272,32,1,27570,15402,2.0,0,-0.79
M00005,P079,B,Mid,Ahri,1,9,5,7,297,47,3,32347,16490,2.0,0,0.9
