player_id,summoner_name,region,tier,current_mmr,main_role,play_style,account_age_months,daily_active_target
P001,Player_001,NA,Diamond,2021,Support,Scaling,22,4
P002,Player_002,LAS,Gold,1378,Support,Objective,52,2
P003,Player_003,BR,Gold,1405,Support,Scaling,38,4
P004,Player_004,BR,Gold,1570,Bottom,Aggressive,56,3
P005,Player_005,LAN,Bronze,1112,Top,Aggressive,16,3
P006,Player_006,EUW,Silver,1220,Jungle,Vision,24,1
P007,Player_007,LAN,Master,2273,Top,Vision,50,3
P008,Player_008,BR,Diamond,1890,Jungle,Objective,41,3
P009,Player_009,LAS,Gold,1529,Support,Aggressive,24,3
P010,Player_010,BR,Silver,1245,Bottom,Scaling,26,1
P011,Player_011,LAS,Diamond,1977,Mid,Objective,25,5
P012,Player_012,LAS,Emerald,1889,Jungle,Vision,66,2
P013,Player_013,LAS,Diamond,2015,Mid,Roamer,14,5
P014,Player_014,EUW,Emerald,1811,Mid,Objective,5,4
P015,Player_015,LAS,Emerald,1852,Bottom,Objective,4,5
P016,Player_016,LAS,Gold,1579,Top,Aggressive,29,3
P017,Player_017,LAS,Diamond,1982,Bottom,Roamer,38,3
P018,Player_018,LAS,Silver,1355,Top,Scaling,70,1
P019,Player_019,NA,Platinum,1558,Jungle,Scaling,5,4
P020,Player_020,LAS,Emerald,1783,Jungle,Vision,39,4
P021,Player_021,LAS,Master,2197,Top,Vision,14,4
P022,Player_022,LAS,Silver,1267,Support,Vision,16,5
P023,Player_023,LAN,Emerald,1775,Top,Aggressive,23,5
P024,Player_024,LAS,Emerald,1807,Mid,Roamer,55,4
P025,Player_025,LAS,Gold,1534,Bottom,Roamer,22,3
P026,Player_026,LAS,Gold,1367,Bottom,Aggressive,64,1
P027,Player_027,LAS,Platinum,1779,Jungle,Aggressive,67,5
P028,Player_028,LAS,Silver,1239,Top,Aggressive,52,1
P029,Player_029,LAS,Silver,1285,Bottom,Objective,61,2
P030,Player_030,EUW,Platinum,1595,Top,Aggressive,65,2
P031,Player_031,BR,Gold,1478,Top,Objective,67,3
P032,Player_032,EUW,Silver,1269,Support,Aggressive,61,5
P033,Player_033,EUW,Diamond,2014,Bottom,Scaling,46,4
P034,Player_034,BR,Silver,1261,Support,Objective,58,2
P035,Player_035,LAS,Platinum,1622,Mid,Objective,45,2
P036,Player_036,LAS,Gold,1425,Jungle,Scaling,20,2
P037,Player_037,EUW,Diamond,2179,Jungle,Vision,70,5
P038,Player_038,NA,Platinum,1627,Bottom,Objective,16,4
P039,Player_039,NA,Silver,1235,Bottom,Aggressive,46,4
P040,Player_040,EUW,Silver,1244,Support,Scaling,32,3
P041,Player_041,NA,Emerald,1743,Jungle,Vision,7,1
P042,Player_042,LAS,Platinum,1736,Mid,Objective,50,3
P043,Player_043,NA,Emerald,1941,Mid,Roamer,62,1
P044,Player_044,LAS,Silver,1277,Mid,Scaling,18,4
P045,Player_045,EUW,Gold,1467,Jungle,Objective,40,2
P046,Player_046,LAS,Silver,1324,Mid,Objective,12,4
P047,Player_047,EUW,Platinum,1665,Mid,Objective,48,5
P048,Player_048,EUW,Emerald,1861,Support,Scaling,12,1
P049,Player_049,NA,Platinum,1658,Mid,Scaling,33,2
P050,Player_050,LAN,Gold,1482,Support,Scaling,41,1
P051,Player_051,EUW,Master,2214,Support,Aggressive,49,5
P052,Player_052,BR,Emerald,1877,Support,Aggressive,20,2
P053,Player_053,NA,Silver,1311,Support,Scaling,66,1
P054,Player_054,LAS,Bronze,900,Bottom,Aggressive,23,5
P055,Player_055,NA,Bronze,1028,Bottom,Scaling,60,5
P056,Player_056,LAS,Bronze,1151,Bottom,Roamer,34,1
P057,Player_057,LAS,Emerald,1793,Bottom,Roamer,55,4
P058,Player_058,BR,Bronze,1085,Support,Scaling,32,1
P059,Player_059,LAS,Silver,1169,Mid,Scaling,21,4
P060,Player_060,LAS,Platinum,1749,Jungle,Vision,41,4
P061,Player_061,EUW,Platinum,1678,Mid,Objective,67,3
P062,Player_062,LAS,Silver,1262,Jungle,Objective,58,4
P063,Player_063,LAN,Platinum,1587,Jungle,Vision,45,2
P064,Player_064,LAN,Bronze,1195,Jungle,Vision,28,3
P065,Player_065,BR,Emerald,1833,Jungle,Scaling,27,3
P066,Player_066,BR,Gold,1644,Mid,Scaling,42,5
P067,Player_067,BR,Diamond,2037,Bottom,Objective,39,5
P068,Player_068,LAS,Platinum,1699,Support,Aggressive,9,2
P069,Player_069,LAS,Gold,1520,Bottom,Aggressive,34,5
P070,Player_070,LAS,Diamond,2117,Mid,Aggressive,39,2
P071,Player_071,EUW,Master,2282,Jungle,Scaling,13,4
P072,Player_072,BR,Gold,1443,Jungle,Vision,36,1
P073,Player_073,EUW,Silver,1372,Mid,Roamer,59,5
P074,Player_074,LAN,Silver,1216,Top,Scaling,6,3
P075,Player_075,LAS,Platinum,1579,Support,Aggressive,47,2
P076,Player_076,LAN,Gold,1536,Mid,Aggressive,22,2
P077,Player_077,BR,Diamond,2036,Bottom,Scaling,46,1
P078,Player_078,BR,Gold,1499,Support,Vision,40,4
P079,Player_079,BR,Diamond,2026,Mid,Roamer,30,2
P080,Player_080,BR,Platinum,1583,Mid,Roamer,47,4
