champion,class,primary_role,pick_rate_base,ban_rate_base,difficulty_score
Ahri,Mage,Mid,0.0819,0.0581,5
Aatrox,Fighter,Top,0.0551,0.1016,4
Ashe,Marksman,Bottom,0.0887,0.087,3
Thresh,Support,Support,0.0758,0.0444,3
Lee Sin,Fighter,Jungle,0.0275,0.1015,3
Jinx,Marksman,Bottom,0.098,0.0985,5
Orianna,Mage,Mid,0.0809,0.0526,2
Malphite,Tank,Top,0.0829,0.0417,1
Nautilus,Tank,Support,0.0302,0.0851,2
Viego,Fighter,Jungle,0.056,0.0254,1
Caitlyn,Marksman,Bottom,0.0497,0.032,1
Leona,Tank,Support,0.0941,0.0108,1
Yasuo,Fighter,Mid,0.0715,0.0966,4
Jarvan IV,Fighter,Jungle,0.0858,0.0831,4
Gnar,Fighter,Top,0.0555,0.0876,4
Kai’Sa,Marksman,Bottom,0.0382,0.0959,3
Lulu,Enchanter,Support,0.0644,0.0605,4
Kha’Zix,Assassin,Jungle,0.0251,0.0726,1
Camille,Fighter,Top,0.0862,0.0254,5
Syndra,Mage,Mid,0.0705,0.0226,3
Ezreal,Marksman,Bottom,0.0806,0.0835,5
Morgana,Mage,Support,0.0484,0.0618,1
Graves,Marksman,Jungle,0.0977,0.0722,3
Renekton,Fighter,Top,0.0914,0.0941,4
Viktor,Mage,Mid,0.0823,0.0798,3
Xayah,Marksman,Bottom,0.0356,0.0709,3
Rakan,Enchanter,Support,0.0573,0.0715,1
Sejuani,Tank,Jungle,0.0235,0.0434,2
Darius,Fighter,Top,0.0323,0.0134,2
Akali,Assassin,Mid,0.0746,0.058,2
Lucian,Marksman,Bottom,0.0796,0.0336,4
Braum,Support,Support,0.0974,0.0549,4
Nocturne,Assassin,Jungle,0.0461,0.1039,4
Ornn,Tank,Top,0.0496,0.0357,2
Twisted Fate,Mage,Mid,0.0576,0.0164,5
Tristana,Marksman,Bottom,0.0352,0.041,1
Alistar,Tank,Support,0.0304,0.0423,2
Elise,Mage,Jungle,0.0581,0.0828,1
Fiora,Fighter,Top,0.0382,0.0713,2
Vex,Mage,Mid,0.0736,0.0962,5
