match_id,team_a_dragons,team_b_dragons,team_a_barons,team_b_barons,team_a_towers,team_b_towers
M00001,2,2,1,0,3,6
M00002,1,0,0,2,6,8
M00003,6,1,1,0,2,4
M00004,2,2,0,1,2,1
M00005,3,3,1,1,2,4
M00006,3,1,1,0,5,5
M00007,2,1,0,0,1,5
M00008,4,0,0,0,10,6
M00009,4,4,1,1,6,2
M00010,4,0,0,2,5,2
M00011,1,1,1,0,9,2
M00012,2,3,0,2,2,8
M00013,3,1,2,0,7,10
M00014,4,3,0,0,2,7
M00015,4,0,0,0,8,3
M00016,3,2,0,0,6,4
M00017,1,1,1,1,3,4
M00018,2,2,0,1,4,6
M00019,0,1,0,0,9,7
M00020,3,0,0,1,5,9
M00021,1,1,1,2,5,4
M00022,2,3,2,0,3,7
M00023,2,1,0,0,2,6
M00024,2,2,0,1,2,7
M00025,1,1,0,1,3,5
M00026,2,6,0,0,6,7
M00027,2,1,0,1,7,3
M00028,0,1,1,0,1,1
M00029,2,0,1,1,5,3
M00030,2,0,1,0,1,3
M00031,3,1,0,0,4,6
M00032,1,3,1,0,1,5
M00033,5,0,2,0,8,3
M00034,4,0,0,1,7,5
M00035,5,4,0,0,4,4
M00036,3,1,0,0,7,5
M00037,5,1,1,0,10,7
M00038,1,0,1,0,4,3
M00039,2,2,1,0,1,6
M00040,2,1,0,2,1,8
M00041,4,3,0,0,8,7
M00042,2,3,1,0,5,7
M00043,2,1,0,0,4,10
M00044,2,0,0,0,10,4
M00045,4,2,0,0,6,4
M00046,2,2,1,2,5,4
M00047,0,3,1,2,1,7
M00048,2,0,2,0,4,3
M00049,2,1,0,0,4,9
M00050,1,1,0,1,3,8
M00051,3,0,2,0,4,3
M00052,2,0,0,0,5,7
M00053,6,2,0,0,5,3
M00054,3,2,0,0,2,9
M00055,1,3,1,0,3,4
M00056,2,3,1,2,6,4
M00057,4,0,2,0,5,3
M00058,4,1,0,2,2,5
M00059,3,2,1,0,5,6
M00060,3,3,0,0,4,5
M00061,2,0,1,0,9,1
M00062,2,2,1,0,1,11
M00063,3,4,0,1,2,10
M00064,4,0,2,0,4,6
M00065,3,0,2,0,5,5
M00066,4,6,0,1,1,2
M00067,3,2,0,0,4,4
M00068,6,0,1,1,8,4
M00069,2,3,0,0,5,7
M00070,4,0,0,0,7,3
M00071,1,2,1,1,4,6
M00072,2,1,1,0,1,7
M00073,0,0,0,0,5,2
M00074,3,0,2,0,6,2
M00075,1,0,2,0,9,3
M00076,0,4,1,0,3,3
M00077,2,0,1,0,10,1
M00078,1,4,0,1,6,2
M00079,3,2,0,1,6,2
